,artist_name,track_name,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,pop; singer-songwriter pop; uk pop,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
1,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,pop; uk pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
2,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,dfw rap; melodic rap; pop; rap,0.76,0.478,2,-5.574,1,0.0467,0.552,0.0,0.0703,0.913,89.908
3,The Weeknd,Starboy,5aAx2yezTd8zXrkmtKl66Z,canadian contemporary r&b; canadian pop; pop,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
4,Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
5,Drake,One Dance,1xznGGDReH1oQq0xzbwXa3,canadian hip hop; canadian pop; hip hop; pop rap; rap,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989
6,Tones And I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,australian pop,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
7,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,australian hip hop,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
8,Post Malone,rockstar,7wGoVu4Dady5GV0Sv4UIsx,dfw rap; melodic rap; pop; rap,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772
9,Imagine Dragons,Believer,0CcQNd8CINkwQfe1RDtGV6,modern rock; pop; rock,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982
10,Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,gauze pop; indietronica; modern rock; pov: indie; shiver pop,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
11,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,pop; singer-songwriter pop; uk pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
12,The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw,pop,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
13,Cloudy Parallels,So Long,4TGSPRYOzoYx93kV85mYTq,Unknown,0.483,0.51,3,-5.549,0,0.0274,0.664,0.0,0.202,0.164,149.883
14,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,modern alternative rock; modern rock; pop,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
15,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,art pop; pop,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
16,Cabela and Schmitt,Testimony,4I7M8sEbqY1UPbrDtqTwwR,Unknown,0.523,0.715,9,-4.814,0,0.109,0.0016,1.11e-06,0.0462,0.686,161.851
17,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,pop; talent show; uk pop,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
18,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,canadian pop; pop; viral pop,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947
19,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
20,Dua Lipa,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,dance pop; pop; uk pop,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95
21,SOHM,Oh Ma,2MRyjNDFdvdPbybm5UhR8p,Unknown,0.49,0.34,7,-8.591,1,0.029,0.918,0.000936,0.182,0.259,105.319
22,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,chicago rap; melodic rap; rap,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903
23,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,art pop; pop,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
24,Drake,God's Plan,6T8cJz5lAqGer9GUHGyelE,canadian hip hop; canadian pop; hip hop; pop rap; rap,0.755,0.448,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179
25,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,pop,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
26,Artemas,if u think i'm pretty,3RWl1dP90FXmZDUeIAO20j,Unknown,0.532,0.609,10,-5.75,0,0.0491,0.484,0.0251,0.367,0.398,143.636
27,Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,pop; singer-songwriter pop; uk pop,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
28,Ed Sheeran,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,pop; singer-songwriter pop; uk pop,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998
29,BLITZ VEGA,Disconnected - Radio Edit,3cSRYQVLOhAMRXjod7C7Ni,Unknown,0.507,0.893,1,-6.202,0,0.0369,0.000916,0.0147,0.0747,0.621,128.911
30,Hozier,Take Me To Church,2EiGECydkS2M8OCcRHQZhT,irish singer-songwriter; modern rock; pov: indie,0.456,0.67,7,-5.212,1,0.0574,0.588,0.0,0.116,0.405,128.632
31,Queen,Bohemian Rhapsody - Remastered 2011,4u7EnebtmKWzUH433cf5Qv,classic rock; glam rock; rock,0.411,0.404,0,-9.928,0,0.0511,0.271,0.0,0.3,0.226,71.068
32,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,dfw rap; melodic rap; pop; rap,0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042
33,The Hourglass Effect,Man On the Moon,2V5Kycr8uGnAA9kHCCnogd,Unknown,0.455,0.686,5,-7.037,0,0.0328,0.0436,0.000242,0.137,0.427,132.563
34,Vance Joy,Riptide,7yq4Qj7cqayVTp3FF9CWbm,folk-pop; modern rock,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
35,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,art pop; dance pop; pop,0.577,0.385,7,-6.362,1,0.03,0.371,0.0,0.231,0.331,95.82
36,Justin Bieber,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,canadian pop; pop,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418
37,OneRepublic,Counting Stars,5edBgVtRD0fvWk140Sl21T,piano rock; pop,0.662,0.71,1,-4.945,0,0.0364,0.0603,0.0,0.119,0.465,121.979
38,Chris App,I Just Can't Love You,3O9BABRNcGdotELKd5Mh4S,Unknown,0.537,0.657,3,-6.175,1,0.0747,0.253,0.0943,0.175,0.57,214.017
39,John Legend,All of Me,3U4isOIWM3VvDubwSI3y7a,neo soul; pop; pop soul; urban contemporary,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
40,Imagine Dragons,Thunder,0tKcYR2II1VCQWT79i5NrW,modern rock; pop; rock,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88
41,Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2,rap; slap house,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049
42,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,Unknown,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
